elapsed_sec,linear_error_nom,angular_error_nom,linear_error_pub,angular_error_pub,tr_sigma,C_t,pose_ok,pass_now
1.0040,0.5615,0.1752,0.0495,0.0248,0.0845,0.9190,0,0
1.2040,0.5235,0.1484,0.1239,0.0516,0.0728,0.9298,0,0
1.4040,0.4934,0.1294,0.1774,0.0706,0.0627,0.9393,0,0
1.8040,0.4562,0.1086,0.2623,0.0914,0.0462,0.9548,0,0
2.0040,0.4478,0.0995,0.3003,0.1005,0.0360,0.9646,0,0
2.2050,0.4464,0.0934,0.3240,0.1066,0.0269,0.9735,0,0
2.4050,0.4441,0.0898,0.3331,0.1102,0.0220,0.9783,0,0
2.8040,0.4425,0.0856,0.3554,0.1144,0.0159,0.9843,0,0
3.2030,0.4348,0.0818,0.3678,0.1182,0.0120,0.9881,0,0
3.4040,0.4340,0.0824,0.3679,0.1176,0.0102,0.9898,0,0
3.8040,0.4401,0.0814,0.3687,0.1186,0.0077,0.9924,0,0
4.2030,0.4331,0.0829,0.3715,0.1171,0.0063,0.9937,0,0
4.4030,0.4342,0.0830,0.3733,0.1170,0.0059,0.9941,0,0
4.6040,0.4318,0.0823,0.3756,0.1177,0.0059,0.9941,0,0
4.8040,0.4350,0.0815,0.3768,0.1185,0.0053,0.9948,0,0
5.0040,0.4366,0.0822,0.3762,0.1178,0.0047,0.9953,0,0
5.2040,0.4333,0.0819,0.3810,0.1181,0.0051,0.9950,0,0
5.4040,0.4331,0.0826,0.3806,0.1174,0.0048,0.9953,0,0
5.6040,0.4306,0.0815,0.3864,0.1185,0.0045,0.9955,0,0
6.0030,0.4308,0.0814,0.3906,0.1186,0.0049,0.9951,0,0
6.2040,0.4301,0.0817,0.3935,0.1183,0.0047,0.9953,0,0
6.6040,0.4297,0.0811,0.3970,0.1189,0.0049,0.9951,0,0
6.8070,0.4280,0.0812,0.3988,0.1188,0.0050,0.9950,0,0
7.2050,0.4273,0.0815,0.4008,0.1185,0.0050,0.9950,0,0
7.6030,0.4234,0.0808,0.4072,0.1192,0.0047,0.9953,0,0
7.8030,0.4202,0.0800,0.4134,0.1200,0.0046,0.9954,0,0
8.0050,0.4192,0.0800,0.4157,0.1200,0.0046,0.9955,0,0
8.2050,0.4174,0.0805,0.4192,0.1195,0.0044,0.9956,0,0
8.4050,0.4154,0.0800,0.4229,0.1200,0.0041,0.9960,0,0
8.6050,0.4145,0.0796,0.4275,0.1204,0.0036,0.9964,0,0
9.0040,0.4136,0.0791,0.4339,0.1209,0.0030,0.9970,0,0
9.2040,0.4126,0.0786,0.4382,0.1214,0.0027,0.9973,0,0
9.6050,0.4111,0.0786,0.4415,0.1214,0.0024,0.9976,0,0
10.0040,0.4106,0.0783,0.4444,0.1217,0.0021,0.9979,0,0
10.4030,0.4089,0.0780,0.4498,0.1220,0.0015,0.9985,0,0
10.6030,0.4074,0.0782,0.4527,0.1218,0.0010,0.9990,0,0
10.8040,0.4066,0.0774,0.4556,0.1226,0.0007,0.9993,0,0
11.2040,0.4059,0.0787,0.4558,0.1213,0.0006,0.9994,0,0
11.4040,0.4057,0.0790,0.4561,0.1210,0.0005,0.9995,0,0
11.8030,0.4054,0.0803,0.4582,0.1197,0.0003,0.9997,0,0
12.0050,0.4054,0.0808,0.4584,0.1192,0.0002,0.9998,1,1
